,precision,recall,f1-score,support
\nabla,0.852112676056338,0.9918032786885246,0.9166666666666666,122.0
\flat,0.6470588235294118,0.8461538461538461,0.7333333333333333,13.0
\clubsuit,0.896551724137931,0.9285714285714286,0.9122807017543859,28.0
\heartsuit,0.9634146341463414,0.8681318681318682,0.9132947976878613,91.0
\neg,0.9655172413793104,0.9882352941176471,0.9767441860465116,85.0
\triangle,0.0,0.0,0.0,32.0
\sqrt{},0.89,0.9081632653061225,0.898989898989899,98.0
\sphericalangle,0.7142857142857143,0.9090909090909091,0.8,11.0
\square,0.9800995024875622,0.9036697247706422,0.9403341288782816,218.0
\triangledown,0.0,0.0,0.0,20.0
\blacksquare,0.9512195121951219,0.9512195121951219,0.9512195121951219,41.0
\lozenge,0.5625,0.5625,0.5625,16.0
\varnothing,0.27906976744186046,0.2553191489361702,0.26666666666666666,47.0
\vartriangle,0.0,0.0,0.0,12.0
\iddots,1.0,0.9166666666666666,0.9565217391304348,24.0
\mathcal{A},0.7857142857142857,0.6111111111111112,0.6875,36.0
\mathcal{B},0.6,0.375,0.46153846153846156,16.0
\mathcal{C},0.6666666666666666,0.42105263157894735,0.5161290322580645,19.0
\mathcal{D},0.5555555555555556,0.23809523809523808,0.3333333333333333,21.0
\mathcal{E},0.5,0.13793103448275862,0.21621621621621623,29.0
\mathcal{F},0.6904761904761905,0.725,0.7073170731707317,40.0
\mathcal{G},0.6666666666666666,0.5,0.5714285714285714,12.0
\mathcal{H},0.6666666666666666,0.8,0.7272727272727273,25.0
\mathcal{L},0.864406779661017,0.68,0.7611940298507462,75.0
\mathcal{M},0.5666666666666667,0.7391304347826086,0.6415094339622641,23.0
\mathcal{N},0.75,0.7272727272727273,0.7384615384615385,33.0
\mathcal{O},0.7142857142857143,0.5747126436781609,0.6369426751592356,87.0
\mathcal{P},0.7941176470588235,0.7297297297297297,0.7605633802816901,37.0
\mathcal{R},0.5,0.4375,0.4666666666666667,16.0
\mathcal{S},0.5789473684210527,0.5789473684210527,0.5789473684210527,19.0
\mathcal{T},0.4444444444444444,0.21052631578947367,0.2857142857142857,19.0
\mathcal{U},0.5,0.5833333333333334,0.5384615384615384,12.0
\mathcal{X},0.25,0.15384615384615385,0.19047619047619047,13.0
\mathcal{Z},0.42857142857142855,0.375,0.4,16.0
\mathfrak{A},0.8,0.5,0.6153846153846154,16.0
\mathfrak{M},0.8888888888888888,0.7272727272727273,0.8,11.0
\mathfrak{S},0.8333333333333334,0.6521739130434783,0.7317073170731707,23.0
\mathfrak{X},0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
\mathbb{1},0.7019230769230769,0.7684210526315789,0.7336683417085427,95.0
\mathds{1},0.25,0.15625,0.19230769230769232,32.0
\mathds{C},0.8974358974358975,0.8333333333333334,0.8641975308641975,42.0
\mathds{E},0.8181818181818182,0.8571428571428571,0.8372093023255814,21.0
\mathds{N},0.8846153846153846,0.9019607843137255,0.8932038834951457,102.0
\mathds{P},0.8421052631578947,0.8,0.8205128205128205,20.0
\mathds{Q},0.6285714285714286,0.9565217391304348,0.7586206896551724,23.0
\mathds{R},0.9416666666666667,0.9495798319327731,0.9456066945606695,238.0
\mathds{Z},0.9166666666666666,0.8712871287128713,0.8934010152284264,101.0
\mathscr{A},0.55,0.5789473684210527,0.5641025641025641,19.0
\mathscr{C},0.6190476190476191,0.5909090909090909,0.6046511627906976,22.0
\mathscr{D},0.75,0.6428571428571429,0.6923076923076923,14.0
\mathscr{E},0.8,0.36363636363636365,0.5,11.0
\mathscr{F},0.5384615384615384,0.5,0.5185185185185185,14.0
\mathscr{H},0.6,0.7142857142857143,0.6521739130434783,21.0
\mathscr{L},0.8170731707317073,0.8271604938271605,0.8220858895705522,81.0
\mathscr{P},0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
\mathscr{S},0.6111111111111112,0.55,0.5789473684210527,20.0
\celsius,0.9142857142857143,0.9696969696969697,0.9411764705882353,33.0
\degree,0.4074074074074074,0.16176470588235295,0.23157894736842105,68.0
\ohm,0.34210526315789475,0.3939393939393939,0.36619718309859156,33.0
\venus,0.47619047619047616,0.7692307692307693,0.5882352941176471,13.0
\mars,0.5757575757575758,0.8260869565217391,0.6785714285714286,23.0
\astrosun,0.0,0.0,0.0,30.0
\fullmoon,0.0,0.0,0.0,15.0
\leftmoon,1.0,0.8181818181818182,0.9,11.0
\female,0.3333333333333333,0.1111111111111111,0.16666666666666666,18.0
\male,0.625,0.5263157894736842,0.5714285714285714,38.0
\checked,0.0,0.0,0.0,28.0
\diameter,0.2,0.15,0.17142857142857143,20.0
\sun,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
\Bowtie,0.4838709677419355,0.5555555555555556,0.5172413793103449,27.0
\mathbb{Q},0.0,0.0,0.0,6.0
\mathbb{N},0.0,0.0,0.0,6.0
\mathbb{Z},0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
\mathbb{H},0.7,0.875,0.7777777777777778,8.0
\ss,0.35714285714285715,0.4166666666666667,0.38461538461538464,24.0
\aa,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.0
\L,0.8,0.8,0.8,10.0
\AA,0.8705882352941177,0.9736842105263158,0.9192546583850931,76.0
\O,0.0,0.0,0.0,24.0
\o,0.2,0.1875,0.1935483870967742,32.0
\ae,0.7333333333333333,0.7586206896551724,0.7457627118644068,29.0
\AE,1.0,0.8,0.8888888888888888,15.0
\guillemotleft,0.75,0.8181818181818182,0.782608695652174,11.0
accuracy,0.783545197740113,0.783545197740113,0.783545197740113,0.783545197740113
macro avg,0.6825761936003605,0.6772923167015831,0.6650144566951832,16992.0
weighted avg,0.7767757131274299,0.783545197740113,0.7727101797188879,16992.0
