,precision,recall,f1-score,support
\Bowtie,0.53125,0.6296296296296297,0.576271186440678,27.0
\mathbb{Q},0.0,0.0,0.0,6.0
\mathbb{N},0.0,0.0,0.0,6.0
\mathbb{Z},0.0,0.0,0.0,7.0
\mathbb{H},0.7777777777777778,0.875,0.8235294117647058,8.0
\ss,0.42857142857142855,0.375,0.4,24.0
\aa,0.7931034482758621,0.9583333333333334,0.8679245283018868,24.0
\L,1.0,0.9,0.9473684210526315,10.0
\AA,0.8795180722891566,0.9605263157894737,0.9182389937106918,76.0
\O,0.3,0.125,0.17647058823529413,24.0
\o,0.0,0.0,0.0,32.0
\ae,0.7575757575757576,0.8620689655172413,0.8064516129032258,29.0
\AE,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
\guillemotleft,0.7333333333333333,1.0,0.8461538461538461,11.0
accuracy,0.8111464218455744,0.8111464218455744,0.8111464218455744,0.8111464218455744
macro avg,0.7104447834379485,0.7068329652809094,0.6859330354568509,16992.0
weighted avg,0.8085671704784136,0.8111464218455744,0.7948772440897931,16992.0
