,precision,recall,f1-score,support
\vdash,0.99,0.9252336448598131,0.9565217391304348,107.0
\dashv,1.0,0.9090909090909091,0.9523809523809523,22.0
\models,0.5,0.4583333333333333,0.4782608695652174,48.0
\sim,0.9900990099009901,0.9950248756218906,0.9925558312655087,201.0
\doteq,0.9,1.0,0.9473684210526315,18.0
\parallel,0.48214285714285715,0.75,0.5869565217391305,36.0
\simeq,0.9666666666666667,0.9886363636363636,0.9775280898876404,88.0
\backsim,1.0,0.8,0.8888888888888888,15.0
\multimap,1.0,0.8,0.8888888888888888,10.0
\pitchfork,0.8461538461538461,0.9166666666666666,0.88,12.0
\therefore,0.925,0.961038961038961,0.9426751592356688,77.0
\because,0.88,1.0,0.9361702127659575,22.0
\between,0.9,0.9,0.9,10.0
\preccurlyeq,0.75,0.7894736842105263,0.7692307692307693,19.0
\varpropto,0.16666666666666666,0.07142857142857142,0.1,14.0
\Vdash,0.7,1.0,0.8235294117647058,14.0
\vDash,0.5094339622641509,0.5869565217391305,0.5454545454545454,46.0
\nmid,0.8048780487804879,0.9428571428571428,0.868421052631579,35.0
\nvDash,0.9375,1.0,0.967741935483871,15.0
\sqsubseteq,0.90625,1.0,0.9508196721311475,29.0
\nsubseteq,1.0,0.95,0.9743589743589743,20.0
\subsetneq,1.0,0.5833333333333334,0.7368421052631579,24.0
\varsubsetneq,0.42857142857142855,0.9,0.5806451612903226,10.0
\neq,0.9867549668874173,0.9738562091503268,0.9802631578947368,153.0
\geqslant,0.7105263157894737,0.8709677419354839,0.782608695652174,31.0
\gtrless,0.8181818181818182,0.9,0.8571428571428571,10.0
\lesssim,0.9125,0.9358974358974359,0.9240506329113924,78.0
\gtrsim,0.9841269841269841,0.9538461538461539,0.96875,65.0
\leqslant,0.5918367346938775,0.725,0.651685393258427,40.0
\trianglelefteq,1.0,0.8823529411764706,0.9375,17.0
\blacktriangleright,1.0,1.0,1.0,6.0
\triangleq,0.9824561403508771,0.9824561403508771,0.9824561403508771,57.0
\Downarrow,0.9444444444444444,1.0,0.9714285714285714,17.0
\downarrow,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
\Rightarrow,0.8656716417910447,0.9886363636363636,0.9230769230769231,176.0
\hookrightarrow,1.0,0.9850746268656716,0.9924812030075187,67.0
\Longleftrightarrow,1.0,0.08333333333333333,0.15384615384615385,24.0
\searrow,1.0,0.9333333333333333,0.9655172413793104,15.0
\longmapsto,0.2,0.05263157894736842,0.08333333333333333,19.0
\leftarrow,0.9,0.8571428571428571,0.8780487804878049,21.0
\Longrightarrow,1.0,0.037037037037037035,0.07142857142857142,27.0
\uparrow,0.7931034482758621,1.0,0.8846153846153846,23.0
\Leftarrow,0.9333333333333333,1.0,0.9655172413793104,14.0
\longrightarrow,0.5,0.16,0.24242424242424243,25.0
\Leftrightarrow,0.7973856209150327,0.9838709677419355,0.8808664259927798,124.0
