,precision,recall,f1-score,support
\nearrow,0.8333333333333334,0.9523809523809523,0.8888888888888888,21.0
\rightleftharpoons,0.6071428571428571,0.8095238095238095,0.6938775510204082,21.0
\rightharpoonup,0.6551724137931034,0.8636363636363636,0.7450980392156863,22.0
\leadsto,0.7534246575342466,0.873015873015873,0.8088235294117647,63.0
\circlearrowleft,0.5909090909090909,0.7647058823529411,0.6666666666666666,17.0
\rightleftarrows,0.5625,0.6923076923076923,0.6206896551724138,13.0
\circlearrowright,0.42857142857142855,0.21428571428571427,0.2857142857142857,14.0
\rightrightarrows,0.5454545454545454,0.8571428571428571,0.6666666666666666,14.0
\rightsquigarrow,0.5238095238095238,0.6111111111111112,0.5641025641025641,18.0
\curvearrowright,0.6818181818181818,0.8823529411764706,0.7692307692307693,17.0
\twoheadrightarrow,0.7441860465116279,0.7619047619047619,0.7529411764705882,42.0
\nRightarrow,1.0,0.9,0.9473684210526315,10.0
\nrightarrow,0.65,0.6842105263157895,0.6666666666666666,19.0
\upharpoonright,0.9090909090909091,0.7142857142857143,0.8,14.0
\mapsfrom,1.0,0.23076923076923078,0.375,13.0
\shortrightarrow,0.0,0.0,0.0,28.0
\lightning,0.8490566037735849,0.8181818181818182,0.8333333333333334,55.0
\vartheta,0.7857142857142857,0.7586206896551724,0.7719298245614035,29.0
\varpi,0.7,0.9333333333333333,0.8,15.0
\bot,0.5,0.16216216216216217,0.24489795918367346,74.0
\forall,0.9801980198019802,0.9252336448598131,0.9519230769230769,214.0
\ni,0.8679245283018868,0.9387755102040817,0.9019607843137255,49.0
\top,0.7,0.8235294117647058,0.7567567567567568,34.0
\ell,0.8282828282828283,0.9010989010989011,0.8631578947368421,91.0
\hbar,0.8392857142857143,0.9038461538461539,0.8703703703703703,52.0
\in,0.8663793103448276,0.8739130434782608,0.8701298701298701,230.0
\notin,0.8759124087591241,0.916030534351145,0.8955223880597015,131.0
\wp,0.8333333333333334,0.6944444444444444,0.7575757575757576,36.0
\exists,0.9621212121212122,0.900709219858156,0.9304029304029304,141.0
\Im,0.42857142857142855,0.23076923076923078,0.3,13.0
\Re,0.3333333333333333,0.45,0.3829787234042553,20.0
\nexists,0.6326530612244898,0.96875,0.7654320987654321,32.0
\langle,0.8904109589041096,0.8441558441558441,0.8666666666666667,77.0
\rangle,0.8,0.5,0.6153846153846154,16.0
\lceil,0.6,0.6857142857142857,0.64,35.0
\rceil,1.0,0.7777777777777778,0.875,18.0
\lfloor,0.84375,0.6428571428571429,0.7297297297297297,42.0
\rfloor,0.3888888888888889,0.4666666666666667,0.42424242424242425,15.0
[,0.7922077922077922,0.6630434782608695,0.7218934911242604,92.0
],0.8518518518518519,0.8846153846153846,0.8679245283018868,26.0
|,0.5609756097560976,0.4423076923076923,0.4946236559139785,52.0
\|,0.5294117647058824,0.7297297297297297,0.6136363636363636,37.0
/,0.8166666666666667,0.9074074074074074,0.8596491228070176,54.0
\llbracket,0.7954545454545454,0.8974358974358975,0.8433734939759037,78.0
\rrbracket,0.8666666666666667,0.7222222222222222,0.7878787878787878,18.0
\vdots,0.9761904761904762,1.0,0.9879518072289156,41.0
\ddots,0.925,0.925,0.925,40.0
\dotsc,0.4,0.13333333333333333,0.2,15.0
\aleph,0.6746987951807228,0.7272727272727273,0.7,77.0
\infty,0.9663299663299664,0.9828767123287672,0.9745331069609507,292.0
\prime,0.7272727272727273,0.5333333333333333,0.6153846153846154,15.0
\angle,0.6785714285714286,0.7916666666666666,0.7307692307692307,24.0
\diamondsuit,0.6,0.25,0.35294117647058826,12.0
\sharp,0.6,0.625,0.6122448979591837,24.0
\backslash,0.3023255813953488,0.5,0.37681159420289856,26.0
\emptyset,0.46853146853146854,0.7052631578947368,0.5630252100840336,95.0
\nabla,0.8489208633093526,0.9672131147540983,0.9042145593869731,122.0
\flat,0.7777777777777778,0.5384615384615384,0.6363636363636364,13.0
\clubsuit,0.8125,0.9285714285714286,0.8666666666666667,28.0
\heartsuit,0.967032967032967,0.967032967032967,0.967032967032967,91.0
\neg,0.8723404255319149,0.9647058823529412,0.9162011173184358,85.0
\triangle,0.21212121212121213,0.21875,0.2153846153846154,32.0
\sqrt{},0.9139784946236559,0.8673469387755102,0.8900523560209425,98.0
\sphericalangle,1.0,0.8181818181818182,0.9,11.0
\square,0.9707317073170731,0.9128440366972477,0.9408983451536643,218.0
\triangledown,0.25,0.05,0.08333333333333333,20.0
\blacksquare,0.9285714285714286,0.9512195121951219,0.9397590361445783,41.0
\lozenge,0.5714285714285714,0.5,0.5333333333333333,16.0
\varnothing,0.28,0.14893617021276595,0.19444444444444445,47.0
\vartriangle,0.0,0.0,0.0,12.0
\iddots,0.8148148148148148,0.9166666666666666,0.8627450980392157,24.0
\mathcal{A},0.6470588235294118,0.6111111111111112,0.6285714285714286,36.0
\mathcal{B},0.625,0.625,0.625,16.0
\mathcal{C},0.5714285714285714,0.42105263157894735,0.48484848484848486,19.0
\mathcal{D},0.5,0.3333333333333333,0.4,21.0
\mathcal{E},0.29411764705882354,0.3448275862068966,0.31746031746031744,29.0
\mathcal{F},0.5714285714285714,0.8,0.6666666666666666,40.0
\mathcal{G},0.75,0.5,0.6,12.0
\mathcal{H},0.6052631578947368,0.92,0.7301587301587301,25.0
\mathcal{L},0.8333333333333334,0.6666666666666666,0.7407407407407407,75.0
\mathcal{M},0.5862068965517241,0.7391304347826086,0.6538461538461539,23.0
